timestamp,level,service,ip,message,trace_id
2026-07-17 09:02:19,INFO,order-service,192.168.20.181,Scheduled job completed,fb7969f5
2026-07-14 17:42:10,INFO,order-service,192.168.205.150,User registered successfully,f7abdfd7
2026-07-17 04:03:13,ERROR,auth-service,192.168.8.254,Transaction rollback due to deadlock,d3a910c4
2026-07-17 05:51:22,DEBUG,order-service,192.168.192.10,User registered successfully,95d76382
2026-07-14 19:12:59,WARNING,auth-service,192.168.73.92,Rate limit exceeded (retry in 5s),bc0c8ea5
2026-07-15 04:34:25,ERROR,order-service,192.168.41.134,Invalid token provided,3196d41e
2026-07-15 06:13:10,WARNING,notification-service,192.168.87.171,Payment gateway unavailable (retry in 5s),4bcab843
2026-07-15 06:27:32,ERROR,notification-service,192.168.11.47,SSL handshake failed,4cdaa56d
2026-07-17 22:45:59,ERROR,order-service,192.168.22.25,File not found: /var/log/app.log,9243caa7
2026-07-19 04:08:20,ERROR,order-service,192.168.174.81,Rate limit exceeded,9f7ce40a
2026-07-21 07:52:18,DEBUG,auth-service,192.168.11.100,User login successful,a90edbeb
2026-07-16 02:07:17,INFO,user-service,192.168.93.214,Cache refreshed,0c014d18
2026-07-19 22:05:55,INFO,payment-service,192.168.222.219,Health check passed,3dd2c6a5
2026-07-20 08:22:28,INFO,notification-service,192.168.178.28,Health check passed,e2bbc228
2026-07-16 21:53:54,DEBUG,payment-service,192.168.207.115,Configuration loaded successfully,b17d4b2b
2026-07-16 00:07:02,ERROR,user-service,192.168.67.241,Invalid token provided,27167d59
2026-07-21 02:16:19,ERROR,user-service,192.168.211.133,SSL handshake failed,ba5f5e63
2026-07-21 04:58:15,INFO,payment-service,192.168.6.31,Order created successfully,9d10aa39
2026-07-15 09:08:32,INFO,notification-service,192.168.133.182,Order created successfully,9e793626
2026-07-16 11:30:26,INFO,order-service,192.168.32.170,Order created successfully,dac3bf06
2026-07-21 16:39:02,INFO,user-service,192.168.201.99,Health check passed,1b9e0c05
2026-07-19 08:39:30,INFO,order-service,192.168.51.67,Health check passed,90fedf81
2026-07-20 16:22:02,INFO,auth-service,192.168.138.201,Health check passed,446e3f07
2026-07-19 23:17:03,INFO,user-service,192.168.145.82,Scheduled job completed,baf3daaa
2026-07-21 01:27:54,DEBUG,user-service,192.168.107.73,Configuration loaded successfully,972969a7
2026-07-19 08:03:07,INFO,notification-service,192.168.203.206,Order created successfully,84084d67
2026-07-15 02:38:01,ERROR,order-service,192.168.132.49,Network unreachable,9cf942c1
2026-07-19 10:17:11,DEBUG,notification-service,192.168.124.25,Order created successfully,812eab74
2026-07-16 01:12:25,INFO,payment-service,192.168.82.208,User login successful,eb11a5dd
2026-07-14 23:24:42,DEBUG,order-service,192.168.43.132,Order created successfully,0af4f1a0
2026-07-15 04:08:17,INFO,payment-service,192.168.177.159,Health check passed,6e43cf13
2026-07-15 23:21:36,WARNING,payment-service,192.168.43.153,Rate limit exceeded (retry in 5s),092ba54e
2026-07-17 04:27:02,INFO,user-service,192.168.115.74,Cache refreshed,d15f3fd7
2026-07-20 10:29:49,ERROR,auth-service,192.168.49.82,OutOfMemoryError: Java heap space,9d1ca222
2026-07-19 11:46:38,WARNING,notification-service,192.168.144.152,Rate limit exceeded (retry in 5s),be91a91b
2026-07-19 12:28:19,ERROR,payment-service,192.168.28.66,OutOfMemoryError: Java heap space,0904165e
2026-07-15 14:06:04,ERROR,user-service,192.168.34.16,File not found: /var/log/app.log,939974b9
2026-07-19 10:31:21,DEBUG,notification-service,192.168.140.173,User login successful,be294474
2026-07-18 06:29:50,WARNING,notification-service,192.168.253.143,Connection timeout to database (retry in 5s),2f31c009
2026-07-14 23:20:59,WARNING,auth-service,192.168.189.120,Connection timeout to database (retry in 5s),333794c4
2026-07-19 23:46:34,ERROR,order-service,192.168.242.40,SSL handshake failed,fde4e3a1
2026-07-17 19:43:44,INFO,auth-service,192.168.112.207,Scheduled job completed,2da646ab
2026-07-16 18:34:32,DEBUG,auth-service,192.168.173.196,Payment processed successfully,c66d39e7
2026-07-17 12:56:41,INFO,notification-service,192.168.84.6,Health check passed,6c54504d
2026-07-19 23:30:31,INFO,notification-service,192.168.12.84,User login successful,e7bd3c21
2026-07-18 04:59:15,ERROR,notification-service,192.168.15.66,OutOfMemoryError: Java heap space,1c44c1fc
2026-07-18 19:25:51,DEBUG,payment-service,192.168.112.15,User registered successfully,4a0380c4
2026-07-17 15:39:42,WARNING,user-service,192.168.206.134,NullPointerException in UserService (retry in 5s),01c7af07
2026-07-16 10:45:12,INFO,order-service,192.168.181.134,Configuration loaded successfully,0713632f
2026-07-17 21:23:46,INFO,notification-service,192.168.124.155,Scheduled job completed,3308616b
2026-07-19 04:43:09,WARNING,payment-service,192.168.211.36,Connection timeout to database (retry in 5s),818a1707
2026-07-18 21:29:47,ERROR,payment-service,192.168.221.43,Rate limit exceeded,dba494b0
2026-07-17 18:30:15,ERROR,auth-service,192.168.28.151,SSL handshake failed,7a088ca3
2026-07-15 01:17:57,INFO,user-service,192.168.186.129,Cache refreshed,0f688778
2026-07-16 17:43:25,INFO,notification-service,192.168.106.120,Cache refreshed,be3b298e
2026-07-17 05:40:47,WARNING,auth-service,192.168.179.160,Rate limit exceeded (retry in 5s),1d847a60
2026-07-16 07:02:10,INFO,order-service,192.168.241.152,Payment processed successfully,e1faa6c4
2026-07-21 05:16:02,ERROR,notification-service,192.168.79.56,Connection timeout to database,29a024ae
2026-07-17 17:07:41,ERROR,user-service,192.168.191.223,Connection timeout to database,d3d1198d
2026-07-18 02:09:40,INFO,user-service,192.168.88.25,User registered successfully,dc437631
2026-07-21 10:54:01,INFO,auth-service,192.168.197.141,Configuration loaded successfully,a8f8bdff
2026-07-15 14:43:35,ERROR,notification-service,192.168.161.137,Connection timeout to database,80d5b2e4
2026-07-21 04:21:04,INFO,user-service,192.168.7.92,User login successful,9c698b9a
2026-07-19 07:14:36,WARNING,payment-service,192.168.5.156,Connection timeout to database (retry in 5s),f7876638
2026-07-19 07:45:52,ERROR,order-service,192.168.226.227,NullPointerException in UserService,d2e5052d
2026-07-16 00:20:29,INFO,payment-service,192.168.17.23,Health check passed,031aed9b
2026-07-20 19:51:43,INFO,user-service,192.168.83.42,User login successful,f6e7faf7
2026-07-15 20:21:21,WARNING,payment-service,192.168.223.10,Connection timeout to database (retry in 5s),e756a3c9
2026-07-19 08:09:10,ERROR,payment-service,192.168.30.135,OutOfMemoryError: Java heap space,893860f7
2026-07-20 04:59:22,WARNING,payment-service,192.168.113.221,Connection timeout to database (retry in 5s),65de12f8
2026-07-15 14:51:33,ERROR,notification-service,192.168.250.48,Transaction rollback due to deadlock,f7b65f61
2026-07-20 12:06:31,INFO,notification-service,192.168.38.161,Health check passed,f8524d9d
2026-07-18 23:51:00,INFO,notification-service,192.168.226.207,User registered successfully,61e5036e
